d,2, d,3, c,6
e,3, d,3, c,6
e,3, d,3, c,5
e,3, d,4, c,5
e,3, d,4, c,6
e,3, d,1, c,6
e,3, d,1, c,5
e,3, d,4, c,5
e,3, d,4, c,6
f,3, d,4, c,6
f,3, d,4, c,5
e,4, d,4, c,5
e,4, d,4, c,6
e,4, d,5, c,6
e,4, d,5, c,7
d,4, d,5, c,7
d,4, d,5, c,6
e,5, d,5, c,6
e,5, d,5, c,7
e,5, d,6, c,7
e,5, d,6, c,8
d,4, d,6, c,8
d,4, d,6, c,7
d,5, d,6, c,7
d,5, d,6, c,8
c,6, d,6, c,8
c,6, d,6, b,8
c,6, d,1, b,8
c,6, d,1, a,7
c,7, d,1, a,7
c,7, d,1, a,6
c,6, d,1, a,6
c,6, d,1, a,5
c,6, d,4, a,5
c,6, d,4, a,6
c,6, d,1, a,6
c,6, d,1, a,5
c,6, d,4, a,5
c,6, d,4, a,6
c,6, d,1, a,6
c,6, d,1, a,5
c,6, d,4, a,5
c,6, d,4, a,6
c,6, d,1, a,6
c,6, d,1, a,5
c,5, d,1, a,5
c,5, d,1, a,4
c,5, d,3, a,4
c,5, d,3, a,5
c,5, d,6, a,5
c,5, d,6, a,5
