d,2, d,3, c,6
e,3, d,3, c,6
e,3, d,3, c,5
e,3, d,4, c,5
e,3, d,4, c,6
f,3, d,4, c,6
f,3, d,4, c,5
e,4, d,4, c,5
e,4, d,4, c,6
e,4, d,5, c,6
e,4, d,5, c,7
d,4, d,5, c,7
d,4, d,5, c,6
e,5, d,5, c,6
e,5, d,5, c,7
e,5, d,6, c,7
e,5, d,6, c,8
e,5, d,1, c,8
e,5, d,1, c,7
d,5, d,1, c,7
d,5, d,1, b,6
d,5, a,1, b,6
d,5, a,1, b,5
d,5, a,2, b,5
d,5, a,2, b,4
d,4, a,2, b,4
d,4, a,2, b,3
d,4, a,1, b,3
d,4, a,1, b,2
d,4, a,5, b,2
d,4, a,5, b,3
d,3, a,5, b,3
d,3, a,5, b,4
d,3, a,1, b,4
d,3, a,1, b,3
d,3, a,5, b,3
d,3, a,5, b,4
d,3, a,1, b,4
d,3, a,1, b,3
d,3, a,5, b,3
d,3, a,5, b,4
d,3, a,1, b,4
d,3, a,1, b,3
d,3, a,5, b,3
d,3, a,5, b,4
d,3, a,1, b,4
d,3, a,1, b,3
d,3, a,5, b,3
d,3, a,5, b,4
d,3, a,1, b,4
d,3, a,1, b,4
